name,Type,porb_mu,porb_sigma_plus,porb_sigma_minus,type_p,kcp_mu,kcp_sigma_plus,kcp_sigma_minus,type_k,e_mu,e_sigma,type_e,i_mu,i_sigma_plus,i_sigma_minus,type_i,q_mu,q_sigma_plus,q_sigma_minus,type_q,mbh_mu,mbh_sigma_plus,mbh_sigma_minus,type_m,m_new_mu,m_new_sigma_plus,m_new_sigma_minus,type_mnew,ref_1,ref_2,ref_3
GS 1354-64,LMXB,2.54451,8e-05,8e-05,n,279.0,4.7,4.7,n,0.0,0.0,n,0.0,50.0,80.0,u,0.12,0.03,0.04,an,7.6,0.7,0.7,n,8.46,4.61,0.46,an,https://iopscience.iop.org/article/10.1088/0067-0049/181/1/238,https://iopscience.iop.org/article/10.1088/0004-637X/741/2/103,https://www.mdpi.com/2075-4434/11/1/19
GS 2000+251,LMXB,0.344086,2e-06,2e-06,n,519.5,5.1,5.1,n,0.0,0.0,n,0.0,54.0,60.0,u,0.034,0.015,0.006,an,0.0,5.5,8.8,u,9.05,0.9,0.48,an,https://www.mdpi.com/2075-4434/11/1/19,https://iopscience.iop.org/article/10.1086/380215,
H 1705-250,LMXB,0.5228,0.0044,0.0044,n,441.0,6.0,6.0,n,0.0,0.0,n,0.0,60.0,80.0,u,0.014,0.019,0.012,an,0.0,5.0,7.4,u,5.56,1.34,0.3,an,https://ui.adsabs.harvard.edu/abs/1996ApJ...459..226R/abstract,https://ui.adsabs.harvard.edu/abs/1997AJ....114.1170H/abstract,
MAXI J1820+070,LMXB,0.68549,1e-05,1e-05,n,417.7,3.9,3.9,n,0.0,0.0,n,0.0,66.0,81.0,u,0.072,0.012,0.012,n,0.0,5.73,8.34,u,6.59,0.88,0.28,an,https://iopscience.iop.org/article/10.3847/2041-8213/ab39df,https://iopscience.iop.org/article/10.3847/2041-8213/ab863a,
GX 339-4,LMXB,1.7587,0.0005,0.0005,n,219.0,3.0,3.0,n,0.0,0.0,n,0.0,37.0,78.0,u,0.18,0.05,0.05,n,0.0,2.3,9.5,u,3.49,4.1,0.08,an,https://iopscience.iop.org/article/10.3847/1538-4357/aa85df,,
NGC 300 X-1,HMXB,1.3663375,1.25e-05,1.25e-05,n,267.5,7.7,7.7,n,0.0,0.0,n,0.0,60.0,75.0,u,1.42,0.7,0.33,an,17.0,4.0,4.0,n,21.44,16.25,4.41,an,https://www.mdpi.com/2075-4434/11/1/19,https://iopscience.iop.org/article/10.3847/1538-4357/abe6a9,https://academic.oup.com/mnrasl/article/403/1/L41/1186184
VFTS 243,Non-interacting,10.4031,0.0004,0.0004,n,81.4,1.3,1.3,n,0.017,0.012,n,0.0,40.0,90.0,u,0.404,0.201,0.201,n,10.1,2.0,2.0,n,8.82,8.88,1.96,an,https://www.nature.com/articles/s41550-022-01730-y,,
MAXI J1659-152,LMXB,0.1006,0.0002,0.0002,n,750.0,80.0,80.0,n,0.0,0.0,n,0.0,70.0,80.0,u,0.0,0.02,0.7,u,0.0,3.3,7.5,u,7.96,5.96,2.09,an,https://academic.oup.com/mnras/article/501/2/2174/6029126,,
XTE J1650-500,LMXB,0.3205,0.0007,0.0007,n,435.0,30.0,30.0,n,0.0,0.0,n,0.0,50.0,70.0,u,0.0,0.01,0.5,u,0.0,4.0,7.3,u,5.24,3.45,1.13,an,https://iopscience.iop.org/article/10.1086/424892,,
GRO J0422+32,LMXB,0.211522,4e-07,4e-07,n,380.6,6.5,6.5,n,0.0,0.0,n,0.0,33.0,49.0,u,0.0,0.1,0.3,u,6.5,2.9,2.9,n,4.13,1.11,0.7,an,https://academic.oup.com/mnras/article/531/4/4917/7697171,https://ui.adsabs.harvard.edu/abs/1995ApJ...455..614F/abstract,https://link.springer.com/article/10.1134/S106377291705002X
MAXI J1803-298,LMXB,0.29,0.03,0.03,n,515.0,55.0,55.0,n,0.0,0.0,n,0.0,65.0,85.0,u,0.0,0.01,0.2,u,8.9,1.6,1.0,an,5.18,2.76,1.29,an,https://www.mdpi.com/2075-4434/11/1/19,https://iopscience.iop.org/article/10.3847/2041-8213/ac502f,
IC10  X-1,Non-interacting,1.45175,1e-05,1e-05,n,370.0,20.0,20.0,n,0.0,0.0,n,0.0,78.0,90.0,u,0.0,0.4749,1.3756,u,23.1,2.1,2.1,n,28.86,14.61,8.11,an,https://iopscience.iop.org/article/10.1086/588096,,
